,항목명,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드
13,매각예정비유동자산처분이익,AJ네트웍스,유가증권시장상장법인,763,산업용 기계 및 장비 임대업,12,2020-03-31,1분기보고서,KRW,entity00365387
14,종속회사및관계회사투자손익,AJ네트웍스,유가증권시장상장법인,763,산업용 기계 및 장비 임대업,12,2020-03-31,1분기보고서,KRW,entity00365387
15,해외사업환산손익,AJ네트웍스,유가증권시장상장법인,763,산업용 기계 및 장비 임대업,12,2020-03-31,1분기보고서,KRW,entity00365387
16,      기타포괄손익-공정가치측정지분상품평가손익,KNN,코스닥시장상장법인,602,텔레비전 방송업,12,2020-03-31,1분기보고서,KRW,dart_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillNotBeReclassifiedToProfitOrLossNetOfTax
17,      지분법이익잉여금변동,LF,유가증권시장상장법인,141,봉제의복 제조업,12,2020-03-31,1분기보고서,KRW,dart_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillNotBeReclassifiedToProfitOrLossNetOfTax
18,      파생상품평가손익,CJ,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,ifrs-full_GainsLossesOnChangeInValueOfTimeValueOfOptionsNetOfTax
19,      확정급여부채재측정요소,AK홀딩스,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,entity00125080
20,   비지배지분,3S,코스닥시장상장법인,292,특수 목적용 기계 제조업,3,2020-06-30,1분기보고서,KRW,ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests
21,   지배기업의 소유주 지분,AK홀딩스,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent
22,관계기업에 대한 지분법손익,대교,유가증권시장상장법인,851,초등 교육기관,12,2020-03-31,1분기보고서,KRW,ifrs-full_GainsLossesArisingFromDifferenceBetweenPreviousCarryingAmountAndFairValueOfFinancialAssetsReclassifiedAsMeasuredAtFairValue
23,영업비용,AJ네트웍스,유가증권시장상장법인,763,산업용 기계 및 장비 임대업,12,2020-03-31,1분기보고서,KRW,ifrs-full_CostOfSales
24,영업수익,AJ네트웍스,유가증권시장상장법인,763,산업용 기계 및 장비 임대업,12,2020-03-31,1분기보고서,KRW,ifrs-full_Revenue
25,      기타포괄손익공정가치측정금융자산평가이익,APS홀딩스,코스닥시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,entity00296078
26,관계기업에 대한 지분법손익,대교,유가증권시장상장법인,851,초등 교육기관,12,2020-03-31,1분기보고서,KRW,ifrs-full_GainsLossesArisingFromDifferenceBetweenPreviousCarryingAmountAndFairValueOfFinancialAssetsReclassifiedAsMeasuredAtFairValue
27,금융수익_유효이자율법에 따른 이자수익,APS홀딩스,코스닥시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,entity00296078
28,기타의대손충당금환입,APS홀딩스,코스닥시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,entity00296078
29,대손충당금환입(비용),APS홀딩스,코스닥시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,entity00296078
30,   순확정급여부채의 재측정요소,AP시스템,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,entity01203808
31,기타의 대손상각비,AP시스템,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,entity01203808
32,당기손익으로 재분류되지 않는 항목,AP시스템,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,entity01203808
33,대손상각비,AP시스템,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,entity01203808
34,이자수익,드림텍,유가증권시장상장법인,262,전자부품 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_FinanceIncome
35,   재고자산 폐기손실,AP위성,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2020-03-31,1분기보고서,KRW,entity00874803
36,금융수익-기타,동일철강,코스닥시장상장법인,241,1차 철강 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_FinanceIncome
37,영업수익,AJ네트웍스,유가증권시장상장법인,763,산업용 기계 및 장비 임대업,12,2020-03-31,1분기보고서,KRW,ifrs-full_Revenue
38,금융수익-기타,동일철강,코스닥시장상장법인,241,1차 철강 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_FinanceIncome
39,기타의대손상각비환입(비용),BGF리테일,유가증권시장상장법인,471,종합 소매업,12,2020-03-31,1분기보고서,KRW,entity01263022
40,대손상각비,BGF리테일,유가증권시장상장법인,471,종합 소매업,12,2020-03-31,1분기보고서,KRW,entity01263022
41,      보통주 기본주당순이익,BYC,유가증권시장상장법인,141,봉제의복 제조업,12,2020-03-31,1분기보고서,KRW,entity00122579
42,      보통주 희석주당순이익,BYC,유가증권시장상장법인,141,봉제의복 제조업,12,2020-03-31,1분기보고서,KRW,entity00122579
43,      우선주 기본주당순이익,BYC,유가증권시장상장법인,141,봉제의복 제조업,12,2020-03-31,1분기보고서,KRW,entity00122579
44,      우선주 희석주당순이익,BYC,유가증권시장상장법인,141,봉제의복 제조업,12,2020-03-31,1분기보고서,KRW,entity00122579
45,      지분법자본변동,CJ ENM,코스닥시장상장법인,602,텔레비전 방송업,12,2020-03-31,1분기보고서,KRW,dart_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossNetOfTax
46,   1.판매비,BYC,유가증권시장상장법인,141,봉제의복 제조업,12,2020-03-31,1분기보고서,KRW,entity00122579
47,   2.관리비,BYC,유가증권시장상장법인,141,봉제의복 제조업,12,2020-03-31,1분기보고서,KRW,entity00122579
48,IX.지분법손실,BYC,유가증권시장상장법인,141,봉제의복 제조업,12,2020-03-31,1분기보고서,KRW,entity00122579
49,공동기업 및 관계기업투자주식에 대한 지분법손익,CJ,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,entity00148540
50,영업수익,AJ네트웍스,유가증권시장상장법인,763,산업용 기계 및 장비 임대업,12,2020-03-31,1분기보고서,KRW,ifrs-full_Revenue
51,      법인세효과,GST,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,dart_IncomeTaxRelatingToComponentsOfOtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLoss
52,계속영업분기순이익(손실),SK네트웍스,유가증권시장상장법인,467,기타 전문 도매업,12,2020-03-31,1분기보고서,KRW,ifrs-full_ProfitLossFromContinuingOperations
53,관계기업투자손실,CJ CGV,유가증권시장상장법인,591,"영화, 비디오물, 방송프로그램 제작 및 배급업",12,2020-03-31,1분기보고서,KRW,entity00303873
54,관계기업투자이익,국순당,코스닥시장상장법인,111,알코올음료 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_GainsLossesArisingFromDifferenceBetweenPreviousCarryingAmountAndFairValueOfFinancialAssetsReclassifiedAsMeasuredAtFairValue
55,세후중단영업분기순손실,CJ CGV,유가증권시장상장법인,591,"영화, 비디오물, 방송프로그램 제작 및 배급업",12,2020-03-31,1분기보고서,KRW,entity00303873
56,      계속영업이익,CJ ENM,코스닥시장상장법인,602,텔레비전 방송업,12,2020-03-31,1분기보고서,KRW,entity00265324
57,      계속영업이익,CJ ENM,코스닥시장상장법인,602,텔레비전 방송업,12,2020-03-31,1분기보고서,KRW,entity00265324
58,      중단영업이익,CJ ENM,코스닥시장상장법인,602,텔레비전 방송업,12,2020-03-31,1분기보고서,KRW,entity00265324
59,      중단영업이익,CJ ENM,코스닥시장상장법인,602,텔레비전 방송업,12,2020-03-31,1분기보고서,KRW,entity00265324
60,기타의대손상각비환입,CJ ENM,코스닥시장상장법인,602,텔레비전 방송업,12,2020-03-31,1분기보고서,KRW,entity00265324
61,대손상각비,CJ ENM,코스닥시장상장법인,602,텔레비전 방송업,12,2020-03-31,1분기보고서,KRW,entity00265324
62,지분법이익(손실),뉴보텍,코스닥시장상장법인,222,플라스틱제품 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates
63,      소계,CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2020-03-31,1분기보고서,KRW,entity00113410
64,      소계,CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2020-03-31,1분기보고서,KRW,entity00113410
65,      파생상품평가손익,CJ,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,ifrs-full_GainsLossesOnChangeInValueOfTimeValueOfOptionsNetOfTax
66,      해외사업장환산외환차이,CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2020-03-31,1분기보고서,KRW,ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationNetOfTax
67,   기타포괄손익 계,CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2020-03-31,1분기보고서,KRW,entity00113410
68,기타포괄손익 계,CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2020-03-31,1분기보고서,KRW,entity00113410
69,지분법손익,KTis,유가증권시장상장법인,639,기타 정보 서비스업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates
70,      기타포괄손익-공정가치 측정 금융자산 평가손익(세후기타포괄손익),BYC,유가증권시장상장법인,141,봉제의복 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_GainsLossesOnFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncomeNetOfTax
71,      보통주기본주당이익,CJ제일제당,유가증권시장상장법인,107,기타 식품 제조업,12,2020-03-31,1분기보고서,KRW,entity00635134
72,      보통주희석주당이익,CJ제일제당,유가증권시장상장법인,107,기타 식품 제조업,12,2020-03-31,1분기보고서,KRW,entity00635134
73,      우선주기본주당이익,CJ제일제당,유가증권시장상장법인,107,기타 식품 제조업,12,2020-03-31,1분기보고서,KRW,entity00635134
74,      우선주희석주당이익,CJ제일제당,유가증권시장상장법인,107,기타 식품 제조업,12,2020-03-31,1분기보고서,KRW,entity00635134
75,   비지배지분,3S,코스닥시장상장법인,292,특수 목적용 기계 제조업,3,2020-06-30,1분기보고서,KRW,ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests
76,   지배기업의 소유주지분,3S,코스닥시장상장법인,292,특수 목적용 기계 제조업,3,2020-06-30,1분기보고서,KRW,ifrs-full_ProfitLossAttributableToOwnersOfParent
77,공동기업 및 관계기업 손익,CJ제일제당,유가증권시장상장법인,107,기타 식품 제조업,12,2020-03-31,1분기보고서,KRW,entity00635134
78,      순확정급여부채의 재측정요소,BGF,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,dart_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans
79,      지분법자본변동,CJ ENM,코스닥시장상장법인,602,텔레비전 방송업,12,2020-03-31,1분기보고서,KRW,dart_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossNetOfTax
80,   비지배지분,3S,코스닥시장상장법인,292,특수 목적용 기계 제조업,3,2020-06-30,1분기보고서,KRW,ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests
81,   비지배지분,3S,코스닥시장상장법인,292,특수 목적용 기계 제조업,3,2020-06-30,1분기보고서,KRW,ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests
82,   지배기업 소유주지분,3S,코스닥시장상장법인,292,특수 목적용 기계 제조업,3,2020-06-30,1분기보고서,KRW,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent
83,   지배회사 소유주지분,CJ프레시웨이,코스닥시장상장법인,463,음ㆍ식료품 및 담배 도매업,12,2020-03-31,1분기보고서,KRW,entity00127954
84,매도가능증권평가이익,CMG제약,코스닥시장상장법인,212,의약품 제조업,12,2020-03-31,1분기보고서,KRW,entity00380429
85,보험수리적손익,CMG제약,코스닥시장상장법인,212,의약품 제조업,12,2020-03-31,1분기보고서,KRW,entity00380429
86,      기타포괄손익-공정가치 측정 금융자산 평가손익,경농,유가증권시장상장법인,203,"비료, 농약 및 살균, 살충제 제조업",12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRevaluation
87,   가맹매출액,CNH,코스닥시장상장법인,642,신탁업 및 집합투자업,12,2020-03-31,1분기보고서,KRW,entity00149266
88,   가맹매출원가,CNH,코스닥시장상장법인,642,신탁업 및 집합투자업,12,2020-03-31,1분기보고서,KRW,entity00149266
89,   금융보증부채환입,CNH,코스닥시장상장법인,642,신탁업 및 집합투자업,12,2020-03-31,1분기보고서,KRW,entity00149266
90,   기타영업비용,LG,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,dart_MiscellaneousExpenses
91,   당기손익-공정가치측정금융상품 관련손실,CNH,코스닥시장상장법인,642,신탁업 및 집합투자업,12,2020-03-31,1분기보고서,KRW,entity00149266
92,   당기손익-공정가치측정금융상품 관련이익,CNH,코스닥시장상장법인,642,신탁업 및 집합투자업,12,2020-03-31,1분기보고서,KRW,entity00149266
93,   렌탈수입,CNH,코스닥시장상장법인,642,신탁업 및 집합투자업,12,2020-03-31,1분기보고서,KRW,entity00149266
94,   리스및렌탈비용,CNH,코스닥시장상장법인,642,신탁업 및 집합투자업,12,2020-03-31,1분기보고서,KRW,entity00149266
95,   수수료비용,CNH,코스닥시장상장법인,642,신탁업 및 집합투자업,12,2020-03-31,1분기보고서,KRW,entity00149266
96,   운용리스료수입,CNH,코스닥시장상장법인,642,신탁업 및 집합투자업,12,2020-03-31,1분기보고서,KRW,entity00149266
97,   유가증권평가및처분손실,CNH,코스닥시장상장법인,642,신탁업 및 집합투자업,12,2020-03-31,1분기보고서,KRW,entity00149266
98,   유가증권평가및처분이익,CNH,코스닥시장상장법인,642,신탁업 및 집합투자업,12,2020-03-31,1분기보고서,KRW,entity00149266
99,   이자비용,AP위성,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2020-03-31,1분기보고서,KRW,dart_InterestExpenseFinanceExpense
100,   자산평가정산및처분손실,CNH,코스닥시장상장법인,642,신탁업 및 집합투자업,12,2020-03-31,1분기보고서,KRW,entity00149266
101,   자산평가정산및처분이익,CNH,코스닥시장상장법인,642,신탁업 및 집합투자업,12,2020-03-31,1분기보고서,KRW,entity00149266
102,   지분법손실,AP위성,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2020-03-31,1분기보고서,KRW,dart_LossesOfAssociatesAndJointVenturesAccountedForUsingEquityMethod
103,   지분법이익,RFHIC,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2020-03-31,1분기보고서,KRW,dart_ProfitsOfAssociatesAndJointVenturesAccountedForUsingEquityMethod
104,   판매비와관리비,SBS미디어홀딩스,유가증권시장상장법인,602,텔레비전 방송업,12,2020-03-31,1분기보고서,KRW,dart_MiscellaneousExpenses
105,   비지배지분,3S,코스닥시장상장법인,292,특수 목적용 기계 제조업,3,2020-06-30,1분기보고서,KRW,ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests
106,   비지배지분,3S,코스닥시장상장법인,292,특수 목적용 기계 제조업,3,2020-06-30,1분기보고서,KRW,ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests
107,   비지배지분,3S,코스닥시장상장법인,292,특수 목적용 기계 제조업,3,2020-06-30,1분기보고서,KRW,ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests
108,   지배기업소유주지분,CS,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent
109,기타영업외 수익,CS,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2020-03-31,1분기보고서,KRW,entity00303703
110,기타영업외비용,3S,코스닥시장상장법인,292,특수 목적용 기계 제조업,3,2020-06-30,1분기보고서,KRW,dart_OtherLosses
111,기타영업외수익,CJ,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,dart_OtherGains
112,당기연결순이익(손실),CS,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2020-03-31,1분기보고서,KRW,entity00303703
113,지분법이익(손실),뉴보텍,코스닥시장상장법인,222,플라스틱제품 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates
114,      기타포괄손익-공정가치 측정 금융자산 평가손익,경농,유가증권시장상장법인,203,"비료, 농약 및 살균, 살충제 제조업",12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRevaluation
115,      기타포괄손익-공정가치 측정 금융자산평가손익,골프존,코스닥시장상장법인,582,소프트웨어 개발 및 공급업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRevaluation
116,   기본 및 희석주당순이익(손실),모나리자,유가증권시장상장법인,179,기타 종이 및 판지 제품 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_BasicEarningsLossPerShare
117,   비지배지분,3S,코스닥시장상장법인,292,특수 목적용 기계 제조업,3,2020-06-30,1분기보고서,KRW,ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests
118,   지배기업의 소유주지분,3S,코스닥시장상장법인,292,특수 목적용 기계 제조업,3,2020-06-30,1분기보고서,KRW,ifrs-full_ProfitLossAttributableToOwnersOfParent
119,지분법손실,세원셀론텍,유가증권시장상장법인,251,"구조용 금속제품, 탱크 및 증기발생기 제조업",12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates
120,지분법이익,남화산업,코스닥시장상장법인,911,스포츠 서비스업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates
121,   경상개발비,AP위성,코스닥시장상장법인,264,통신 및 방송 장비 제조업,12,2020-03-31,1분기보고서,KRW,dart_OrdinaryDevelopmentExpense
122,   금융비용,대한제분,유가증권시장상장법인,106,"곡물가공품, 전분 및 전분제품 제조업",12,2020-03-31,1분기보고서,KRW,dart_InterestExpenseFinanceExpense
123,   금융수익,JW생명과학,유가증권시장상장법인,212,의약품 제조업,12,2020-03-31,1분기보고서,KRW,dart_OtherFinancialIncome
124,   기타영업외비용,대한제분,유가증권시장상장법인,106,"곡물가공품, 전분 및 전분제품 제조업",12,2020-03-31,1분기보고서,KRW,dart_OtherFinancialExpenses
125,   기타영업외수익,대한제분,유가증권시장상장법인,106,"곡물가공품, 전분 및 전분제품 제조업",12,2020-03-31,1분기보고서,KRW,dart_OtherFinancialIncome
126,   기타포괄손익-공정가치측정금융자산 평가손익,DMS,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,entity00361594
127,   당기손익으로 재분류되지 않는 항목의 법인세,DMS,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,entity00361594
128,   지분법자본변동,삼성제약,유가증권시장상장법인,212,의약품 제조업,12,2020-03-31,1분기보고서,KRW,dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax
129,   지분법투자손익,DMS,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,entity00361594
130,   판매관리비,대웅,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,dart_MiscellaneousExpenses
131,   해외사업환산손익,대한과학,코스닥시장상장법인,465,기계장비 및 관련 물품 도매업,12,2020-03-31,1분기보고서,KRW,dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax
132,   후속적으로 당기손익으로 재분류되지 않는 항목,CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2020-03-31,1분기보고서,KRW,dart_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax
133,경상개발비,DMS,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,entity00361594
134,기타영업외비용,3S,코스닥시장상장법인,292,특수 목적용 기계 제조업,3,2020-06-30,1분기보고서,KRW,dart_OtherLosses
135,기타영업외수익,CJ,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,dart_OtherGains
136,   관계기업투자자본변동,DRB동일,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,entity00118266
137,   기본 및 희석주당손익 (단위 : 원),DRB동일,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,entity00118266
138,   기본 및 희석주당손익 - 계속영업 (단위 : 원),DRB동일,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,entity00118266
139,   기본 및 희석주당손익 - 중단영업 (단위 : 원),DRB동일,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,entity00118266
140,   기타의판매비와관리비,웅진,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,dart_MiscellaneousExpenses
141,   기타포괄손익-공정가치측정 금융자산평가손익,DRB동일,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,entity00118266
142,   기타포괄손익-공정가치측정금융자산평가이익,DRB동일,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,entity00118266
143,   대손상각비(환입),S&T모티브,유가증권시장상장법인,303,자동차 신품 부품 제조업,12,2020-03-31,1분기보고서,KRW,dart_BadDebtExpenses
144,   매도가능금융자산평가손실,DRB동일,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,entity00118266
145,   지분법자본변동,삼성제약,유가증권시장상장법인,212,의약품 제조업,12,2020-03-31,1분기보고서,KRW,dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax
146,   해외사업환산손익,대한과학,코스닥시장상장법인,465,기계장비 및 관련 물품 도매업,12,2020-03-31,1분기보고서,KRW,dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax
147,   확정급여부채의 재측정요소,DRB동일,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,entity00118266
148,관계기업투자손익,KSS해운,유가증권시장상장법인,501,해상 운송업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates
149,후속적으로 당기손익으로 재분류되지 않는 항목,DRB동일,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,entity00118266
150,후속적으로 당기손익으로 재분류될 수 있는 항목,DRB동일,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,entity00118266
151,후속적으로 당기손익으로 재분류될수 있는 항목,DRB동일,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,entity00118266
152,관리비,고려산업,유가증권시장상장법인,106,"곡물가공품, 전분 및 전분제품 제조업",12,2020-03-31,1분기보고서,KRW,dart_TotalSellingGeneralAdministrativeExpenses
153,연구개발비,DSR제강,유가증권시장상장법인,241,1차 철강 제조업,12,2020-03-31,1분기보고서,KRW,entity00151298
154,판매비,KNN,코스닥시장상장법인,602,텔레비전 방송업,12,2020-03-31,1분기보고서,KRW,dart_TotalSellingGeneralAdministrativeExpenses
155,지분법손실,세원셀론텍,유가증권시장상장법인,251,"구조용 금속제품, 탱크 및 증기발생기 제조업",12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates
156,지분법이익,남화산업,코스닥시장상장법인,911,스포츠 서비스업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates
157,관계기업의 기타포괄손익에 대한 지분,EDGC,코스닥시장상장법인,701,자연과학 및 공학 연구개발업,12,2020-03-31,1분기보고서,KRW,entity01182550
158,관계기업지분법손실,EDGC,코스닥시장상장법인,701,자연과학 및 공학 연구개발업,12,2020-03-31,1분기보고서,KRW,entity01182550
159,기타판매비와관리비,디에스케이,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,dart_TotalSellingGeneralAdministrativeExpenses
160,대손상각비,EDGC,코스닥시장상장법인,701,자연과학 및 공학 연구개발업,12,2020-03-31,1분기보고서,KRW,entity01182550
161,이자수익,드림텍,유가증권시장상장법인,262,전자부품 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_FinanceIncome
162,해외사업장 외화환산손익,EDGC,코스닥시장상장법인,701,자연과학 및 공학 연구개발업,12,2020-03-31,1분기보고서,KRW,entity01182550
